Well;Fluor;Content;Sample.Name;Cq;SQ
A01;FAM;Unkn;WT1;18.08498821;447497.7669
A02;FAM;Unkn;WT1;18.51605146;323476.1758
A03;FAM;Unkn;WT2;19.42111945;163645.547
A04;FAM;Unkn;WT2;19.7235954;130316.9621
A05;FAM;Unkn;WT3;22.27909955;19028.5237
A06;FAM;Unkn;WT3;22.00976354;23306.2435
A07;FAM;Unkn;SF1;19.28942862;180702.5626
A08;FAM;Unkn;SF1;19.79889791;123134.1786
A09;FAM;Unkn;SF2;19.92076202;112339.2787
A10;FAM;Unkn;SF2;19.77249288;125606.6128
A11;FAM;Unkn;SF3;20.26413152;86747.51861
A12;FAM;Unkn;SF3;19.57444042;145804.6831
B01;FAM;Unkn;WT1;25.31884905;519098.1573
B02;FAM;Unkn;WT1;25.86449449;346189.8347
B03;FAM;Unkn;WT2;27.44175747;107337.0275
B04;FAM;Unkn;WT2;28.4671482;50133.46584
B05;FAM;Unkn;WT3;29.07390268;31951.32432
B06;FAM;Unkn;WT3;30.177128;14085.44062
B07;FAM;Unkn;SF1;27.53679621;100024.3528
B08;FAM;Unkn;SF1;27.73296251;86467.89242
B09;FAM;Unkn;SF2;25.45460771;469327.6569
B10;FAM;Unkn;SF2;26.57562865;204183.0981
B11;FAM;Unkn;SF3;27.18663375;129721.0257
B12;FAM;Unkn;SF3;27.2612698;122728.4079
