Well;Fluor;Content;Sample.Name;Cq;SQ
A01;FAM;Unkn;WT1;18.08498821;447497.7669
A02;FAM;Unkn;WT1;18.51605146;323476.1758
A03;FAM;Unkn;WT2;19.42111945;163645.547
A04;FAM;Unkn;WT2;19.7235954;130316.9621
A05;FAM;Unkn;WT3;22.27909955;19028.5237
A06;FAM;Unkn;WT3;22.00976354;23306.2435
A07;FAM;Unkn;SF1;19.28942862;180702.5626
A08;FAM;Unkn;SF1;19.79889791;123134.1786
A09;FAM;Unkn;SF2;19.92076202;112339.2787
A10;FAM;Unkn;SF2;19.77249288;125606.6128
A11;FAM;Unkn;SF3;20.26413152;86747.51861
A12;FAM;Unkn;SF3;19.57444042;145804.6831
B01;FAM;Unkn;WT1;24.28836075;865668.2915
B02;FAM;Unkn;WT1;25.39437218;381785.5463
B03;FAM;Unkn;WT2;25.66574949;312308.7176
B04;FAM;Unkn;WT2;28.24685039;46225.1538
B05;FAM;Unkn;WT3;27.41483292;85572.43333
B06;FAM;Unkn;WT3;28.03195161;54194.90775
B07;FAM;Unkn;SF1;29.49513971;18348.9203
B08;FAM;Unkn;SF1;30.53503785;8498.276994
B09;FAM;Unkn;SF2;27.45885114;82829.30906
B10;FAM;Unkn;SF2;29.45893358;18847.29922
B11;FAM;Unkn;SF3;28.9951309;26566.87348
B12;FAM;Unkn;SF3;29.81464286;14484.54581
