Well;Fluor;Content;Sample.Name;Cq;SQ
C01;FAM;Unkn;WT1;18.5581135080402;313392.715675682
C02;FAM;Unkn;WT1;18.6157799317588;300077.336138482
C03;FAM;Unkn;WT2;19.5476361538828;148777.036398143
C04;FAM;Unkn;WT2;19.2208010574412;190284.789078968
C05;FAM;Unkn;WT3;22.3850448399657;17569.6546048797
C06;FAM;Unkn;WT3;22.2028334645549;20153.1293876389
C07;FAM;Unkn;SF1;20.5298768812764;71017.2649499328
C08;FAM;Unkn;SF1;20.7776977773941;58929.3629906319
C09;FAM;Unkn;SF2;20.6493589801073;64907.6403579913
C10;FAM;Unkn;SF2;20.1094140090874;97464.4904033199
C11;FAM;Unkn;SF3;18.67927388818;286069.800983927
C12;FAM;Unkn;SF3;19.0139077497557;222358.539420069
D01;FAM;Unkn;WT1;26.3723551062;281111.267931209
D02;FAM;Unkn;WT1;26.1367286062567;331395.164353008
D03;FAM;Unkn;WT2;28.4141650507044;67542.4079044931
D04;FAM;Unkn;WT2;27.8591035134503;99525.0367690103
D05;FAM;Unkn;WT3;29.9908323049106;22457.2891865328
D06;FAM;Unkn;WT3;29.8528863155609;24728.4988127902
D07;FAM;Unkn;SF1;26.9577707116131;186773.711545265
D08;FAM;Unkn;SF1;26.9037235896181;193958.488349362
D09;FAM;Unkn;SF2;29.5943741108708;29621.5058331772
D10;FAM;Unkn;SF2;29.1458909005361;40516.9410710045
D11;FAM;Unkn;SF3;26.1208029470299;335101.661650662
D12;FAM;Unkn;SF3;26.572849496636;244380.341307948
