Well;Fluor;Content;Sample.Name;Cq;SQ
C01;FAM;Unkn;WT1;18.5581135080402;313392.715675682
C02;FAM;Unkn;WT1;18.6157799317588;300077.336138482
C03;FAM;Unkn;WT2;19.5476361538828;148777.036398143
C04;FAM;Unkn;WT2;19.2208010574412;190284.789078968
C05;FAM;Unkn;WT3;22.3850448399657;17569.6546048797
C06;FAM;Unkn;WT3;22.2028334645549;20153.1293876389
C07;FAM;Unkn;SF1;20.5298768812764;71017.2649499328
C08;FAM;Unkn;SF1;20.7776977773941;58929.3629906319
C09;FAM;Unkn;SF2;20.6493589801073;64907.6403579913
C10;FAM;Unkn;SF2;20.1094140090874;97464.4904033199
C11;FAM;Unkn;SF3;18.67927388818;286069.800983927
C12;FAM;Unkn;SF3;19.0139077497557;222358.539420069
D01;FAM;Unkn;WT1;23.3102329900485;1525179.87162143
D02;FAM;Unkn;WT1;35.9320211870005;65.9784572662263
D03;FAM;Unkn;WT2;25.6578247911854;235316.928235873
D04;FAM;Unkn;WT2;25.5933031115866;247720.08040658
D05;FAM;Unkn;WT3;27.9827544975681;36967.542410991
D06;FAM;Unkn;WT3;27.5653234078302;51540.0992488736
D07;FAM;Unkn;SF1;29.1579994297579;14503.9280689889
D08;FAM;Unkn;SF1;29.1811438060237;14239.1343317763
D09;FAM;Unkn;SF2;29.749011344297;9060.37726120705
D10;FAM;Unkn;SF2;28.0813111814066;34177.879078566
D11;FAM;Unkn;SF3;27.7127509615836;45832.4344064181
D12;FAM;Unkn;SF3;27.7358527773529;44997.2104021723
