Well;Fluor;Content;Sample.Name;Cq;SQ
D01;FAM;Unkn;WT1;18.94462211;234265.7252
D02;FAM;Unkn;WT1;18.26796198;389908.1521
D03;FAM;Unkn;WT2;19.20466606;192610.4634
D04;FAM;Unkn;WT2;17.65109586;620389.5914
D05;FAM;Unkn;WT3;21.05876031;47690.32025
D06;FAM;Unkn;WT3;19.92915237;111631.8606
D07;FAM;Unkn;SF1;20.45795696;74968.74421
D08;FAM;Unkn;SF1;21.12902141;45233.09889
D09;FAM;Unkn;SF2;19.42980309;162579.1408
D10;FAM;Unkn;SF2;20.22624655;89257.48468
D11;FAM;Unkn;SF3;21.26852515;40723.16918
D12;FAM;Unkn;SF3;19.91004394;113249.4795
F01;FAM;Unkn;WT1;18.99966398;386065.2972
F02;FAM;Unkn;WT1;18.49882333;560247.7818
F03;FAM;Unkn;WT2;18.17120835;714768.9404
F04;FAM;Unkn;WT2;18.73636364;469547.311
F05;FAM;Unkn;WT3;22.33252366;32396.20286
F06;FAM;Unkn;WT3;21.73046766;50686.87433
F07;FAM;Unkn;SF1;21.8971295;44779.69073
F08;FAM;Unkn;SF1;22.11075799;38203.33986
F09;FAM;Unkn;SF2;22.22125266;35190.30717
F10;FAM;Unkn;SF2;22.19422133;35904.70503
F11;FAM;Unkn;SF3;19.93494807;192602.263
F12;FAM;Unkn;SF3;21.08950699;81631.74316
