Well;Fluor;Content;Sample.Name;Cq;SQ
D01;FAM;Unkn;WT1;18.94462211;234265.7252
D02;FAM;Unkn;WT1;18.26796198;389908.1521
D03;FAM;Unkn;WT2;19.20466606;192610.4634
D04;FAM;Unkn;WT2;17.65109586;620389.5914
D05;FAM;Unkn;WT3;21.05876031;47690.32025
D06;FAM;Unkn;WT3;19.92915237;111631.8606
D07;FAM;Unkn;SF1;20.45795696;74968.74421
D08;FAM;Unkn;SF1;21.12902141;45233.09889
D09;FAM;Unkn;SF2;19.42980309;162579.1408
D10;FAM;Unkn;SF2;20.22624655;89257.48468
D11;FAM;Unkn;SF3;21.26852515;40723.16918
D12;FAM;Unkn;SF3;19.91004394;113249.4795
F01;FAM;Unkn;WT1;26.2494552;312427.923
F02;FAM;Unkn;WT1;26.54720813;247044.6291
F03;FAM;Unkn;WT2;27.19729885;147955.9189
F04;FAM;Unkn;WT2;26.50231578;255947.0625
F05;FAM;Unkn;WT3;28.99544207;35834.73909
F06;FAM;Unkn;WT3;29.51867257;23719.64919
F07;FAM;Unkn;SF1;28.07542462;74027.28595
F08;FAM;Unkn;SF1;28.60582013;48723.89189
F09;FAM;Unkn;SF2;29.11442876;32625.23763
F10;FAM;Unkn;SF2;29.13012412;32223.9175
F11;FAM;Unkn;SF3;27.00289676;172469.0507
F12;FAM;Unkn;SF3;27.52421692;114332.432
