Well;Fluor;Content;Sample.Name;Cq;SQ
E01;FAM;Unkn;WT1;18.6859629494494;284632.725997302
E02;FAM;Unkn;WT1;19.5151820993033;152457.11367863
E03;FAM;Unkn;WT2;19.3506090621565;172567.734952943
E04;FAM;Unkn;WT2;19.5718738689004;146086.701357472
E05;FAM;Unkn;WT3;21.7939644026647;27417.8904016043
E06;FAM;Unkn;WT3;22.3787907861454;17652.5791476351
E07;FAM;Unkn;SF1;22.5174290798403;15902.9017228429
E08;FAM;Unkn;SF1;22.2029159529583;20151.8778114885
E09;FAM;Unkn;SF2;17.3563884079519;774511.035836386
E10;FAM;Unkn;SF2;19.0129229633158;222523.466609858
E11;FAM;Unkn;SF3;17.7905622304046;558549.857617806
E12;FAM;Unkn;SF3;19.060782847188;214647.901217148
H01;FAM;Unkn;WT1;18.8585568546639;442590.060193572
H02;FAM;Unkn;WT1;19.7594332646478;192927.103451494
H03;FAM;Unkn;WT2;19.2647031803696;304387.545769624
H04;FAM;Unkn;WT2;19.1526330642882;337510.277518838
H05;FAM;Unkn;WT3;22.2992418222521;18567.0487929246
H06;FAM;Unkn;WT3;22.461101042781;15993.8442785683
H07;FAM;Unkn;SF1;25.9687684164689;630.785863293429
H08;FAM;Unkn;SF1;26.4255652703788;414.030624859581
H09;FAM;Unkn;SF2;19.8975429894016;169867.315872905
H10;FAM;Unkn;SF2;22.270064007218;19073.1470002932
H11;FAM;Unkn;SF3;20.6001125556047;88895.7317005361
H12;FAM;Unkn;SF3;21.6644493410475;33330.4794606158
