Well;Fluor;Content;Sample.Name;Cq;SQ
E01;FAM;Unkn;WT1;18.6859629494494;284632.725997302
E02;FAM;Unkn;WT1;19.5151820993033;152457.11367863
E03;FAM;Unkn;WT2;19.3506090621565;172567.734952943
E04;FAM;Unkn;WT2;19.5718738689004;146086.701357472
E05;FAM;Unkn;WT3;21.7939644026647;27417.8904016043
E06;FAM;Unkn;WT3;22.3787907861454;17652.5791476351
E07;FAM;Unkn;SF1;22.5174290798403;15902.9017228429
E08;FAM;Unkn;SF1;22.2029159529583;20151.8778114885
E09;FAM;Unkn;SF2;17.3563884079519;774511.035836386
E10;FAM;Unkn;SF2;19.0129229633158;222523.466609858
E11;FAM;Unkn;SF3;17.7905622304046;558549.857617806
E12;FAM;Unkn;SF3;19.060782847188;214647.901217148
H01;FAM;Unkn;WT1;27.2327300464068;207162.350275336
H02;FAM;Unkn;WT1;27.3464346266947;185120.873152844
H03;FAM;Unkn;WT2;26.9928024008948;262663.982646286
H04;FAM;Unkn;WT2;27.4327029399826;169976.346262938
H05;FAM;Unkn;WT3;31.6268097989009;2681.06210643055
H06;FAM;Unkn;WT3;31.2680958776589;3823.27433214546
H07;FAM;Unkn;SF1;32.1313963966616;1627.4257545585
H08;FAM;Unkn;SF1;31.5681499367205;2841.26180754938
H09;FAM;Unkn;SF2;27.7526027048244;123861.74064616
H10;FAM;Unkn;SF2;28.0942797957088;88334.1849083654
H11;FAM;Unkn;SF3;28.5042684927123;58880.1611321887
H12;FAM;Unkn;SF3;29.4121268951043;23982.2281619355
