Well;Fluor;Content;Sample.Name;Cq;SQ
G01;FAM;Unkn;WT1;19.24207585;20850
G02;FAM;Unkn;WT1;19.01181784;13544
G03;FAM;Unkn;WT2;19.24207585;187261.1405
G04;FAM;Unkn;WT2;19.01181784;222708.6936
G05;FAM;Unkn;WT3;19.58539607;144606.964
G06;FAM;Unkn;WT3;19.72155047;130517.756
G07;FAM;Unkn;SF1;19.07651644;212120.2319
G08;FAM;Unkn;SF1;18.07594374;450555.4249
G09;FAM;Unkn;SF2;18.51516854;323691.277
G10;FAM;Unkn;SF2;18.4513925;339613.083
G11;FAM;Unkn;SF3;18.92360132;238002.822
G12;FAM;Unkn;SF3;17.58384482;652610.6698
D01;FAM;Unkn;WT1;19.24207585;33326
D02;FAM;Unkn;WT1;19.01181784;53000
D03;FAM;Unkn;WT2;26.90707896;101915.8576
D04;FAM;Unkn;WT2;27.534158;69930.43775
D05;FAM;Unkn;WT3;27.80235067;59526.08985
D06;FAM;Unkn;WT3;28.14082638;48575.23552
D07;FAM;Unkn;SF1;27.69308825;63563.64574
D08;FAM;Unkn;SF1;28.41167267;41282.29359
D09;FAM;Unkn;SF2;28.62027329;36420.81831
D10;FAM;Unkn;SF2;28.58074454;37295.88308
D11;FAM;Unkn;SF3;29.9395859;16489.32598
D12;FAM;Unkn;SF3;27.6831266;63945.10808
