Well;Fluor;Content;Sample.Name;Cq;SQ
B01;FAM;Unkn;WT1;21.153909661757;33111.563988311
B02;FAM;Unkn;WT1;20.4645723628178;53661.8418134173
B05;FAM;Unkn;WT3;36.9086270261499;0.534115583822111
B06;FAM;Unkn;WT3;19.8546585919478;82260.6298205343
B07;FAM;Unkn;SF1;19.4377769506287;110154.199750277
B08;FAM;Unkn;SF1;20.0416720364474;72161.4740873832
B09;FAM;Unkn;SF2;19.5296235190992;103291.060440056
B10;FAM;Unkn;SF2;19.5629440851497;100908.355548866
B11;FAM;Unkn;SF3;18.5435887889014;206062.727592096
B12;FAM;Unkn;SF3;18.3951165548495;228645.380048993
F01;FAM;Unkn;WT1;29.3570433232329;267577.172854172
F02;FAM;Unkn;WT1;28.9469522045811;365094.718205631
F05;FAM;Unkn;WT3;34.7219512126283;4591.09961842333
F06;FAM;Unkn;WT3;36.2218557043512;1473.37941823384
F07;FAM;Unkn;SF1;30.0155102717123;162463.127755761
F08;FAM;Unkn;SF1;30.1942146384039;141887.835304747
F09;FAM;Unkn;SF2;31.9796504181603;36675.6509150255
F10;FAM;Unkn;SF2;31.9140169358977;38545.8022952742
F11;FAM;Unkn;SF3;29.4729136970734;245085.372337743
F12;FAM;Unkn;SF3;29.1960706795139;302289.729727907
