Well;Fluor;Content;Sample.Name;Cq;SQ
C01;FAM;Unkn;WT1;19.42006751;111529.0493
C02;FAM;Unkn;WT1;19.51296879;104503.0221
C03;FAM;Unkn;WT2;19.84334387;82915.13203
C04;FAM;Unkn;WT2;18.65816533;190172.1909
C05;FAM;Unkn;WT3;19.74511614;88820.4913
C06;FAM;Unkn;WT3;19.90477713;79423.08231
C07;FAM;Unkn;SF1;19.134824;136192.9799
C08;FAM;Unkn;SF1;19.29102387;122079.0405
C09;FAM;Unkn;SF2;18.86252228;164810.4507
C10;FAM;Unkn;SF2;18.46046949;218415.3047
C11;FAM;Unkn;SF3;20.36988773;57341.2549
C12;FAM;Unkn;SF3;19.00649475;149001.4589
H01;FAM;Unkn;WT1;29.60598677;110614.287609385
H02;FAM;Unkn;WT1;29.95293526;82991.895484086
H03;FAM;Unkn;WT2;29.79341696;94711.8626688155
H04;FAM;Unkn;WT2;29.6218621;109169.637781719
H05;FAM;Unkn;WT3;29.68198583;103867.372240899
H06;FAM;Unkn;WT3;29.51646013;119126.483835746
H07;FAM;Unkn;SF1;30.05275328;76407.7521952132
H08;FAM;Unkn;SF1;29.72039891;100615.381354001
H09;FAM;Unkn;SF2;29.6058471;110627.081396904
H10;FAM;Unkn;SF2;29.37597061;133823.863462003
H11;FAM;Unkn;SF3;30.82733364;40231.8129799717
H12;FAM;Unkn;SF3;30.52919839;51497.9682746319
